NAME,room type,price,review rate,house_rule,city,latitude,longitude
나이아가라호텔 정문,숙박,0,3.4,,서울 마포구,37.5579912,126.9247562
나인브릭호텔 주차장,입출구,0,4.4,,,37.5477666,126.879678
나인트리 프리미어 로카우스 호텔 서울 용산,주차장,0,4.5,"주차가능,휠체어사용,예약가능,포장가능,배달가능,와이파이",서울 마포구,37.5535928,126.9206167
나인트리 바이 파르나스 서울 동대문,호텔,0,4.1,"예약가능,와이파이",서울 용산구,37.5297072,126.9669297
나인트리바이파르나스 서울명동1,호텔,0,4,,서울 중구,37.5667347,127.0028485
낙원힐하우스,호텔,0,3.6,,서울 중구,37.5615126,126.9860783
남산하이드아웃,"빌라,주택",0,3.3,,서울 은평구,37.547649,126.9436612
남산게스트하우스,게스트하우스,0,3,,서울 중구,37.5581074,126.9847475
남현당,게스트하우스,0,4,"예약가능,와이파이",서울 중구,37.5580135,126.9845937
노보텔 앰배서더 서울 강남,게스트하우스,0,3.2,"주차가능,휠체어사용,예약가능,배달가능,흡연실,와이파이",서울 종로구,37.569237,126.987619
노보텔 앰배서더 서울 동대문 호텔 & 레지던스,호텔,0,3.8,,서울 강남구,37.5051522,127.028929
노스텔지어,호텔,0,4.4,"예약가능,와이파이",서울 중구,37.5660169,126.9808193
누하당,칵테일바,185000,3,,서울 서초구,37.5823259,126.9843457
뉴서울 호텔,게스트하우스,0,2.8,"휠체어사용,와이파이",서울 종로구,37.5786848,126.9689709
뉴천지호텔,호텔,0,5,주차가능,서울 중구,37.5679878,126.9781607
스웨터코리아,호텔,0,4.8,주차가능,서울 중구,37.565717,127.0035262
다산하우스,의류,0,3.5,,서울 노원구,37.5540848,126.9186078
다자연 한옥게스트하우스,게스트하우스,0,4.5,,서울 강서구,37.5591068,126.8111235
더플라자호텔 블랑제리,한옥숙소,0,3.6,포장가능,서울 종로구,37.5750258,126.9913709
더 리버사이드호텔,"제과,베이커리",0,2.9,"주차가능,휠체어사용,예약가능,와이파이",서울 중구,37.5646228,126.9780753
셀란,호텔,0,4.1,,서울 서초구,37.5185714,127.0180161
더캡슐 반포,양식,0,3.8,"예약가능,와이파이",서울 동대문구,37.5740734,127.0349161
호텔데님,호텔,0,3.4,,서울 서초구,37.5043003,127.0198336
두리하우스,호텔,0,4.6,,서울 강남구,37.4761134,127.0466724
둥글하우스,게스트하우스,0,2.1,,서울 마포구,37.5916765,127.037081
호텔드어반,게스트하우스,0,3,"주차가능,휠체어사용,예약가능,흡연실",서울 관악구,37.4769515,126.9657197
디비 하우스 A동,호텔,0,4.6,,서울 강서구,37.5296325,126.8471496
딜라이트호텔,"빌라,주택 동",0,3.2,주차가능,서울 동작구,37.6034806,126.9248913
라마다바이윈덤 서울동대문,호텔,0,3.5,,서울 송파구,37.5155822,127.1141604
라바호텔,호텔,0,2.8,,서울 중구,37.5681683,127.0021461
라이즈 오토그래프 컬렉션,"여관,모텔",0,4,"주차가능,휠체어사용,와이파이",서울 서초구,37.4862281,127.0134833
라이프스타일호텔,호텔,0,1.9,,서울 마포구,37.5542951,126.9212674
라자호텔,"여관,모텔",0,4.3,"주차가능,와이파이",서울 영등포구,37.5173637,126.9112823
레드버튼 강남점,"여관,모텔",0,3.9,"휠체어사용,흡연실,와이파이",서울 송파구,37.5155822,127.1141604
레스케이프호텔,보드카페,0,3.6,"주차가능,반려견동반,휠체어사용,예약가능,포장가능,와이파이",서울 강남구,37.5584119,126.984818
레인보우호텔,호텔,0,3.7,,서울 중구,37.5597397,126.9794267
렉스관광호텔,호텔,0,2.6,"주차가능,휠체어사용,예약가능,와이파이",서울 용산구,37.5404248,126.9720661
서울렉스호텔,호텔,0,3.3,주차가능,서울 강남구,37.5143622,127.0204912
로사나부띠끄호텔 뷔페,호텔,0,4.3,,서울 중구,37.5586621,126.9805931
로얄스퀘어호텔,한식뷔페,0,4.2,,서울 송파구,37.5048362,127.0971969
로얄호텔서울,호텔,0,4.1,주차가능,서울 강서구,37.5608281,126.8103747
롯데시티호텔 구로,호텔,0,4.3,"주차가능,예약가능,와이파이",서울 중구,37.5638349,126.9849971
롯데시티호텔 김포공항,호텔,0,4.2,"주차가능,예약가능,와이파이",서울 구로구,37.4845924,126.8963929
롯데시티호텔 마포,호텔,0,4,"주차가능,예약가능,와이파이",서울 강서구,37.5632147,126.8031098
롯데시티호텔 명동,호텔,0,4.1,"예약가능,와이파이",서울 마포구,37.544521,126.9507401
